Time,Total Vehicle, Current Vehicle,Average Speed,FPS,Total Car,Total Truck
2022-05-30 14:24:35.255206,0,0,0,0,0,0
2022-05-30 14:24:47.809731,18,6,61.89473684210526,17,18,0
2022-05-30 14:24:57.839301,38,5,799.2,19,33,5
2022-05-30 14:25:07.874444,59,5,75.60000000000001,15,54,5
2022-05-30 14:25:17.921844,70,8,133.2,16,62,8
2022-05-30 14:25:27.926720,81,9,151.20000000000002,19,73,8
2022-05-30 14:25:38.681790,93,13,92.7,18,85,8
2022-05-30 14:25:48.761756,106,6,63.0,16,96,10
2022-05-30 14:25:58.797917,106,6,34.89545454545454,15,96,10
2022-05-30 14:26:08.824746,131,9,151.20000000000002,17,119,12
2022-05-30 14:26:18.971312,139,5,70.19999999999999,18,127,12
